Platform,Total_Posts,Brand_Count,Analysis_Days,Avg_Daily_Posts,Max_Daily_Posts,Min_Daily_Posts,Median_Daily_Posts,Std_Daily_Posts,Start_Date,End_Date
Weibo,51662,25,365,141.53972602739725,460,23,143.0,54.503016197729906,2024-08-01,2025-07-31
X_Platform,3513,19,366,9.598360655737705,30,1,10.0,4.369871637371664,2024-08-01,2025-08-01
